driverId,week,hours-logged,miles-logged
35,4,71,1800
76,29,62,0
40,28,75,2100
98,51,78,2600
25,4,66,900
17,46,59,700
69,24,66,1500
46,18,53,1100
74,37,50,2600
20,1,58,2800
69,7,56,3700
70,8,71,2100
18,36,58,2600
77,46,79,100
61,32,54,400
12,51,60,2700
76,30,60,2500
92,10,50,1100
80,7,80,3400
96,14,52,3000
108,1,51,1400
81,21,74,2900
45,38,59,2300
33,42,64,700
23,14,53,3700
84,17,62,2900
105,41,79,2400
12,40,73,3700
98,23,52,3600
15,19,65,2400
39,35,70,2800
44,50,64,700
28,17,68,2500
11,10,65,3400
100,22,68,2700
10,51,58,2800
84,17,54,4000
86,40,53,2900
58,24,50,500
105,15,75,2800
62,27,72,3700
13,21,63,100
106,11,58,1500
19,31,65,3000
41,27,77,2100
42,29,75,1700
57,34,62,3400
55,11,64,800
28,5,52,1700
65,40,66,2600
80,43,57,500
50,35,66,1000
27,19,75,1800
16,13,79,3200
15,29,69,3700
31,39,79,3300
15,22,54,100
61,42,51,600
43,51,69,1300
102,24,66,2100
101,34,61,1800
56,12,64,3600
67,3,53,4000
38,1,69,3300
33,2,74,2300
26,52,79,1700
101,34,75,1700
63,12,76,100
64,13,54,3300
89,13,51,1500
84,16,51,0
105,16,77,900
107,12,65,0
46,18,51,0
66,31,57,3300
46,37,66,3600
97,18,68,2700
91,15,58,3700
44,8,59,1200
39,44,76,2700
98,20,72,3900
18,26,69,2300
45,24,64,3700
103,47,59,2600
57,52,54,800
23,27,60,2700
33,13,79,400
18,3,74,2400
93,17,70,1300
14,23,57,3400
71,11,59,1700
28,2,64,900
87,34,79,1100
86,37,63,3300
13,50,61,800
68,23,75,1700
57,6,80,3900
15,42,79,1600
72,2,55,1300
57,12,60,1000
19,7,54,2300
51,34,66,2000
108,12,50,1400
79,40,64,500
70,29,67,2600
62,23,65,2100
56,33,55,500
107,11,67,1600
10,16,72,1000
48,7,80,700
68,28,53,1200
91,21,62,3300
31,21,74,1200
66,19,52,4000
33,35,60,1800
40,35,75,2900
100,39,56,2300
31,45,80,400
81,24,71,2000
78,7,57,600
72,31,71,2300
107,52,52,3800
28,25,74,700
56,11,55,3500
76,1,61,2100
10,33,58,3600
83,21,64,3900
79,50,61,0
50,1,51,3100
104,45,55,0
74,1,72,2300
53,50,71,3800
87,3,65,700
74,52,80,3700
73,40,70,3600
69,6,62,3300
85,5,58,3300
10,27,79,3900
24,33,76,0
63,36,50,300
57,33,74,2100
34,49,50,1100
55,33,80,1000
83,36,56,1500
91,37,74,1600
62,23,54,1600
38,4,78,1300
73,9,73,3300
81,22,68,0
32,17,64,1200
66,1,80,200
38,26,77,1200
52,34,65,600
103,6,78,200
103,19,62,700
21,29,61,3300
46,29,72,1300
57,42,58,1700
86,5,80,3900
71,33,55,3100
74,10,71,0
70,34,64,3100
64,7,68,3000
48,44,61,500
66,11,59,900
88,16,75,400
37,13,52,3600
86,47,68,0
24,21,73,3700
85,30,65,3400
38,42,58,1100
89,27,51,1100
50,15,56,3900
32,34,74,3100
14,50,70,2500
99,45,52,3300
66,4,61,3000
94,20,77,1100
19,16,72,3700
23,4,53,3300
60,52,60,3600
21,36,76,1300
30,22,77,300
18,42,80,1300
86,27,68,4000
15,31,76,1700
83,8,64,1600
87,14,59,2000
36,7,58,400
89,36,72,2600
82,12,80,1800
94,11,68,1100
48,46,70,2000
62,30,68,3200
19,33,63,3100
93,42,50,200
103,43,65,3900
13,48,78,500
97,13,72,100
98,23,63,1000
65,35,55,2400
84,9,51,3900
